ppm_norm,asp.4
1.0004,0.009904352
1.00078,0.009806549
1.00116,0
1.001308975,0
1.00154,0
1.00192,0
1.00231,0.018577877
1.002408478,0.010974883
1.00269,0.002478509
1.00307,0
1.00345,0
1.003507982,0
1.00383,0
1.00421,0
1.00459,0
1.004607485,0
1.00498,0
1.00536,0
1.005706989,2.59E-05
1.00574,0.016952282
1.00612,0.016878425
1.0065,0.01678201
1.006806493,0
1.00688,0
1.00727,0.000989013
1.00765,0.003084643
1.007905996,0.00313942
1.00803,0
1.00841,0
1.00879,0
1.0090055,0.004468485
1.00917,0.002990732
1.00956,0.002718697
1.00994,0
1.010105003,0
1.01032,0
1.0107,0
1.01108,0
1.011204507,0
1.01146,0
1.01185,0
1.01223,0.005705517
1.01230401,0
1.01261,0
1.01299,0
1.01337,0.010749773
1.013403514,0.010087773
1.01375,0.003813843
1.01414,0
1.014503017,0
1.01452,0
1.0149,0.003036095
1.01528,0.006184482
1.015602521,0.003217982
1.01566,0.007719598
1.01604,0.009021239
1.01643,0.011089764
1.016702025,0.002557491
1.01681,0
1.01719,0
1.01757,0
1.017801528,0
1.01795,0
1.01833,0
1.01872,0
1.018901032,0
1.0191,0
1.01948,0
1.01986,0
1.020000535,0.004132605
1.02024,0.013290257
1.02062,0.014143093
1.02101,0.002375426
1.021100039,0
1.02139,0
1.02177,0
1.02215,0
1.022199542,0
1.02253,0
1.02291,0
1.023299046,0
1.0233,0
1.02368,0.001351944
1.02406,0.002466674
1.024398549,0
1.02444,0
1.02482,0.000987149
1.0252,0.002226383
1.025498053,0.008540971
1.02559,0
1.02597,0
1.02635,0
1.026597557,0
1.02673,0.009921795
1.02711,0.009503004
1.02749,0.007905251
1.02769706,0.000685093
1.02788,0
1.02826,0
1.02864,0
1.028796564,0
1.02902,0
1.0294,0
1.02978,0
1.029896067,0
1.03016,0
1.03055,0
1.03093,0
1.030995571,0
1.03131,0
1.03169,0
1.03207,0.006354708
1.032095074,0.018882551
1.03245,0.009643393
1.03284,0.004253489
1.033194578,0
1.03322,0.00342371
1.0336,0.006259752
1.03398,0.009089569
1.034294082,0
1.03436,0
1.03474,0
1.03513,0
1.035393585,0
1.03551,0
1.03589,0
1.03627,0
1.036493089,0
1.03665,0.014145725
1.03703,0.012312888
1.03742,0.002700729
1.037592592,0
1.0378,0
1.03818,0.000711136
1.03856,0.024412099
1.038692096,0.016552927
1.03894,0.001250844
1.03932,0
1.03971,0
1.039791599,0
1.04009,0
1.04047,0
1.04085,0
1.040891103,0
1.04123,0.001930622
1.04161,0.002803185
1.041990606,0
1.042,0
1.04238,0
1.04276,0
1.04309011,0.002149884
1.04314,0
1.04352,0
1.0439,0
1.044189614,0.008707364
1.04429,0.013366582
1.04467,0.009062513
1.04505,0
1.045289117,0
1.04543,0
1.04581,0
1.04619,0
1.046388621,0.006890451
1.04658,0.006905261
1.04696,0.006309387
1.04734,0
1.047488124,0
1.04772,0.017593104
1.0481,0.017922959
1.04848,0.018093078
1.048587628,0
