ppm_norm,ile.7
0.7779,0
0.778109753,0
0.778282,0
0.778663,0
0.779045,0
0.779209256,0
0.779427,0
0.779808,0
0.78019,0
0.78030876,0
0.780571,0
0.780953,0
0.781335,0
0.781408263,0
0.781716,0
0.782098,0
0.78248,0
0.782507767,0
0.782861,0
0.783243,0
0.78360727,0
0.783625,0
0.784006,0
0.784388,0
0.784706774,0
0.78477,0
0.785151,0
0.785533,0
0.785806277,0
0.785914,0
0.786296,0
0.786678,0
0.786905781,0
0.787059,0
0.787441,0
0.787823,0
0.788005285,0
0.788204,0
0.788586,0
0.788968,0
0.789104788,0
0.789349,0
0.789731,0
0.790113,0
0.790204292,0
0.790494,0
0.790876,0
0.791257,0
0.791303795,0
0.791639,0
0.792021,0
0.792402,0
0.792403299,0
0.792784,0
0.793166,0
0.793502802,0
0.793547,0
0.793929,0
0.794311,0
0.794602306,0
0.794692,0
0.795074,0
0.795455,0
0.79570181,0
0.795837,0
0.796219,0
0.7966,0
0.796801313,0
0.796982,0
0.797364,0
0.797745,0
0.797900817,0
0.798127,0
0.798509,0
0.79889,0
0.79900032,0
0.799272,0
0.799654,0
0.800035,0
0.800099824,0
0.800417,0
0.800798,0
0.80118,0
0.801199327,0
0.801562,0
0.801943,0
0.802298831,0
0.802325,0
0.802707,0
0.803088,0
0.803398334,0
0.80347,0
0.803852,0
0.804233,0
0.804497838,0
0.804615,0
0.804997,0
0.805378,0
0.805597342,0
0.80576,0
0.806141,0
0.806523,0
0.806696845,0
0.806905,0
0.807286,0
0.807668,0
0.807796349,0
0.80805,0
0.808431,0
0.808813,0
0.808895852,0
0.809195,0
0.809576,0
0.809958,0
0.809995356,0
0.81034,0
0.810721,0
0.811094859,0
0.811103,0
0.811484,0
0.811866,0
0.812194363,0
0.812248,0
0.812629,0
0.813011,0
0.813293866,0
0.813393,0
0.813774,0
0.814156,0
0.81439337,0
0.814538,0.020546444
0.814919,0.025206161
0.815301,0.04743638
0.815492874,0.055192849
0.815682,0.053982688
0.816064,0.05346338
0.816446,0.04479847
0.816592377,0.025249408
0.816827,0.010549594
0.817209,0
0.817591,0
0.817691881,0
0.817972,0
0.818354,0
0.818736,0
0.818791384,0
0.819117,0
0.819499,0
0.819881,0
0.819890888,0
0.820262,0
0.820644,0
0.820990391,0
0.821025,0
0.821407,0
0.821789,0
0.822089895,0
0.82217,0
0.822552,0
0.822934,0
0.823189398,0
0.823315,0
0.823697,0
0.824079,0
0.824288902,0
0.82446,0
0.824842,0
0.825224,0
0.825388406,0
0.825605,0
0.825987,0
0.826368,0
0.826487909,0
0.82675,0
0.827132,0
0.827513,0
0.827587413,0
0.827895,0
0.828277,0
0.828658,0
0.828686916,0
0.82904,0
0.829422,0
0.82978642,0
0.829803,0
0.830185,0
0.830566,0
0.830885923,0
0.830948,0
0.83133,0
0.831711,0
0.831985427,0
0.832093,0
0.832475,0
0.832856,0
0.83308493,0
0.833238,0
0.83362,0
0.834001,0
0.834184434,0
0.834383,0
0.834765,0
0.835146,0
0.835283938,0
0.835528,0
0.835909,0
0.836291,0
0.836383441,0
0.836673,0
0.837054,0
0.837436,0
0.837482945,0
0.837818,0
0.838199,0
0.838581,0
0.838582448,0
0.838963,0
0.839344,0
0.839681952,0
0.839726,0
0.840108,0
0.840489,0
0.840781455,0
0.840871,0
0.841252,0
0.841634,0
0.841880959,0
0.842016,0
0.842397,0
0.842779,0
0.842980462,0
0.843161,0
0.843542,0
0.843924,0
0.844079966,0
0.844306,0
0.844687,0
0.845069,0
0.84517947,0
0.845451,0
0.845832,0
0.846214,0
0.846278973,0
0.846595,0
0.846977,0
0.847359,0
0.847378477,0
0.84774,0
0.848122,0
0.84847798,0
0.848504,0
0.848885,0
0.849267,0
0.849577484,0
0.849649,0
0.85003,0
0.850412,0
0.850676987,0
0.850793,0
0.851175,0
0.851557,0
0.851776491,0
0.851938,0
0.85232,0
0.852702,0
0.852875995,0
0.853083,0
0.853465,0
0.853847,0
0.853975498,0
0.854228,0
0.85461,0
0.854992,0
0.855075002,0
0.855373,0
0.855755,0
0.856136,0
0.856174505,0
0.856518,0
0.8569,0
0.857274009,0
0.857281,0
0.857663,0
0.858045,0
0.858373512,0
0.858426,0
0.858808,0
0.85919,0
0.859473016,0
0.859571,0
0.859953,0
0.860335,0
0.860572519,0
0.860716,0
0.861098,0
0.861479,0
0.861672023,0
0.861861,0
0.862243,0
0.862624,0
0.862771527,0
0.863006,0
0.863388,0
0.863769,0
0.86387103,0
0.864151,0
0.864533,0
0.864914,0
0.864970534,0
0.865296,0
0.865677,0
0.866059,0
0.866070037,0
0.866441,0
0.866822,0
0.867169541,0
0.867204,0
0.867586,0
0.867967,0
0.868269044,0
0.868349,0
0.868731,0
0.869112,0
0.869368548,0
0.869494,0
0.869876,0
0.870257,0
0.870468051,0
0.870639,0
0.87102,0
0.871402,0
0.871567555,0
0.871784,0
0.872165,0
0.872547,0
0.872667059,0
0.872929,0
0.87331,0
0.873692,0
0.873766562,0
0.874074,0
0.874455,0
0.874837,0
0.874866066,0
0.875219,0
0.8756,0
0.875965569,0
0.875982,0
0.876363,0
0.876745,0
0.877065073,0
0.877127,0
0.877508,0
0.87789,0
0.878164576,0
0.878272,0
0.878653,0
0.879035,0
0.87926408,0
0.879417,0
0.879798,0
0.88018,0
0.880363583,0
0.880562,0
0.880943,0
0.881325,0
0.881463087,0
0.881706,0
0.882088,0
0.88247,0
0.882562591,0
0.882851,0
0.883233,0
0.883615,0
0.883662094,0
0.883996,0
0.884378,0
0.88476,0
0.884761598,0
0.885141,0
0.885523,0
0.885861101,0
0.885904,0
0.886286,0
0.886668,0
0.886960605,0
0.887049,0
0.887431,0
0.887813,0
0.888060108,0
0.888194,0
0.888576,0
0.888958,0
0.889159612,0
0.889339,0
0.889721,0
0.890103,0
0.890259115,0
0.890484,0
0.890866,0
0.891247,0
0.891358619,0
0.891629,0
0.892011,0
0.892392,0
0.892458123,0
0.892774,0
0.893156,0
0.893537,0
0.893557626,0
0.893919,0
0.894301,0
0.89465713,0
0.894682,0
0.895064,0
0.895446,0
0.895756633,0
0.895827,0
0.896209,0
0.89659,0
0.896856137,0
0.896972,0
0.897354,0
0.897735,0
0.89795564,0
0.898117,0
0.898499,0
0.89888,0
0.899055144,0
0.899262,0
0.899644,0
0.900025,0
0.900154647,0
0.900407,0
0.900789,0
0.90117,0
0.901254151,0
0.901552,0
0.901933,0
0.902315,0
0.902353655,0
0.902697,0
0.903078,0
0.903453158,0
0.90346,0
0.903842,0
0.904223,0
0.904552662,0
0.904605,0
0.904987,0
0.905368,0
0.905652165,0
0.90575,0
0.906131,0
0.906513,0
0.906751669,0
0.906895,0
0.907276,0
0.907658,0
0.907851172,0
0.90804,0
0.908421,0
0.908803,0
0.908950676,0
0.909185,0
0.909566,0
0.909948,0
0.910050179,0
0.91033,0
0.910711,0
0.911093,0
0.911149683,0
0.911474,0
0.911856,0
0.912238,0
0.912249187,0
0.912619,0
0.913001,0
0.91334869,0
0.913383,0
0.913764,0
0.914146,0
0.914448194,0
0.914528,0
0.914909,0
0.915291,0
0.915547697,0
0.915673,0
0.916054,0
0.916436,0
0.916647201,0
0.916817,0
0.917199,0
0.917581,0
0.917746704,0
0.917962,0
0.918344,0
0.918726,0
0.918846208,0
0.919107,0
0.919489,0
0.919871,0
0.919945712,0
0.920252,0
0.920634,0
0.921015,0
0.921045215,0
0.921397,0
0.921779,0
0.922144719,0
0.92216,0.050733873
0.922542,0.101303686
0.922924,0.201098113
0.923244222,0.377022939
0.923305,0.57159466
0.923687,0.621323842
0.924069,0.79858796
0.924343726,1.051780516
0.92445,1.331866626
0.924832,1.369137449
0.925214,1.697840622
0.925443229,2.232926134
0.925595,3.012646202
0.925977,3.024872264
0.926358,4.212249825
0.926542733,5.901106411
0.92674,7.684732665
0.927122,7.957480341
0.927503,10.00072118
0.927642236,11.63127355
0.927885,12.33612534
0.928267,12.57091673
0.928648,12.66029702
0.92874174,11.90886688
0.92903,11.03851104
0.929412,10.53365688
0.929793,8.841956188
0.929841244,7.103913259
0.930175,6.296566817
0.930557,5.538231656
0.930938,4.281846827
0.930940747,3.336933679
0.93132,3.056170045
0.931701,2.63223057
0.932040251,2.114364461
0.932083,1.730673343
0.932465,1.642393947
0.932846,1.416708885
0.933139754,1.155101114
0.933228,0.962124185
0.93361,0.938701502
0.933991,0.81924957
0.934239258,0.702871169
0.934373,0.627598498
0.934755,0.625867308
0.935136,0.590528892
0.935338761,0.56040644
0.935518,0.551239734
0.9359,0.550544076
0.936281,0.596547527
0.936438265,0.690101959
0.936663,0.809830901
